2020-11-14 16:32:08 - ------------------脚本开始执行------------------
2020-11-14 16:32:08 - 当前wifi: Tenda_D05B42, 正在检测...
2020-11-14 16:32:09 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:32:20 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:32:32 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:32:43 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:32:55 - 可以正常联网, 当前wifi为: Tenda_D05B41
2020-11-14 16:33:06 - 可以正常联网, 当前wifi为: Tenda_D05B41
2020-11-14 16:33:17 - 可以正常联网, 当前wifi为: Tenda_D05B41
2020-11-14 16:33:27 - 联网失败, 正在切换wifi: Tenda_D05B42
2020-11-14 16:39:33 - ------------------脚本开始执行------------------
2020-11-14 16:39:33 - 当前wifi: Tenda_D05B42, 正在检测...
2020-11-14 16:39:35 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:39:45 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:39:55 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:40:06 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:40:16 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:40:26 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:40:36 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:40:47 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:40:57 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:41:07 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:41:18 - 可以正常联网, 当前wifi为: Tenda_D05B42
2020-11-14 16:41:28 - 可以正常联网, 当前wifi为: Tenda_D05B41
2020-11-14 16:41:38 - 可以正常联网, 当前wifi为: Tenda_D05B41
2020-11-14 16:41:47 - 联网失败, 正在切换wifi: Tenda_D05B40
2020-11-14 16:41:57 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:42:08 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:42:18 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:42:28 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:42:37 - 联网失败, 正在切换wifi: Tenda_D05B40
2020-11-14 16:42:45 - ------------------脚本开始执行------------------
2020-11-14 16:42:46 - 当前wifi: Tenda_D05B40, 正在检测...
2020-11-14 16:42:47 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:42:56 - 联网失败, 正在切换wifi: Tenda_D05B40
2020-11-14 16:42:56 - 切换成功
2020-11-14 16:43:06 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:43:16 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:43:27 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:43:37 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:43:47 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:43:57 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:44:07 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:44:18 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:44:28 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:44:38 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:45:19 - ------------------脚本开始执行------------------
2020-11-14 16:45:19 - 当前wifi: Tenda_D05B40, 正在检测...
2020-11-14 16:45:21 - 可以正常联网, 当前wifi为: Tenda_D05B40
2020-11-14 16:45:30 - 联网失败, 正在切换wifi: Tenda_D05B41
